data_folder,threshold,data_id,seed,pytorch_verified_energy,scipy_reported_energy,energy_difference,scipy_result_file,status
1_data_1000,1e-5,data_5,4,-18940.353449106216,-18940.353449106216,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_5/scipy_4,MATCH
1_data_1000,1e-5,data_5,5,-18770.37207841873,-18770.37207841873,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_5/scipy_5,MATCH
1_data_1000,1e-6,data_1,1,-19841.433321356773,-19841.433321356773,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_1/scipy_1,MATCH
1_data_1000,1e-6,data_1,2,-19950.014727711678,-19950.014727711678,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_1/scipy_2,MATCH
1_data_1000,1e-6,data_1,3,-19758.34227538109,-19758.34227538109,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_1/scipy_3,MATCH
1_data_1000,1e-6,data_1,4,-19803.982645392418,-19803.982645392418,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_1/scipy_4,MATCH
1_data_1000,1e-6,data_1,5,-19837.325464487076,-19837.325464487076,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_1/scipy_5,MATCH
1_data_1000,1e-6,data_2,1,-19154.90637946129,-19154.90637946129,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_2/scipy_1,MATCH
1_data_1000,1e-6,data_2,2,-19213.183240771294,-19213.183240771294,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_2/scipy_2,MATCH
1_data_1000,1e-6,data_2,3,-19183.752179980278,-19183.752179980278,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_2/scipy_3,MATCH
1_data_1000,1e-6,data_2,4,-19018.62156701088,-19018.62156701088,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_2/scipy_4,MATCH
1_data_1000,1e-6,data_2,5,-19051.102122068405,-19051.102122068405,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_2/scipy_5,MATCH
1_data_1000,1e-6,data_3,1,-19537.10226368904,-19537.10226368904,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_3/scipy_1,MATCH
1_data_1000,1e-6,data_3,2,-19533.67067027092,-19533.67067027092,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_3/scipy_2,MATCH
1_data_1000,1e-6,data_3,3,-19689.019280195236,-19689.019280195236,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_3/scipy_3,MATCH
1_data_1000,1e-6,data_3,4,-19604.37414610386,-19604.37414610386,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_3/scipy_4,MATCH
1_data_1000,1e-6,data_3,5,-19583.25764155388,-19583.25764155388,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_3/scipy_5,MATCH
1_data_1000,1e-6,data_4,1,-20752.387407541275,-20752.387407541275,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_4/scipy_1,MATCH
1_data_1000,1e-6,data_4,2,-20849.834438443184,-20849.834438443184,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_4/scipy_2,MATCH
